codigo,acao
ALOS3,ALLOS
ABEV3,AMBEV S/A
ASAI3,ASSAI
AURE3,AUREN
AXIA3,AXIA ENERGIA
AZZA3,AZZAS 2154
B3SA3,B3
BBSE3,BBSEGURIDADE
BBDC3,BRADESCO
BBDC4,BRADESCO
BRAP4,BRADESPAR
BBAS3,BRASIL
BRKM5,BRASKEM
BRAV3,BRAVA
BPAC11,BTGP BANCO
CXSE3,CAIXA SEGURI
CEAB3,CEA MODAS
CMIG4,CEMIG
COGN3,COGNA ON
CSMG3,COPASA
CPLE3,COPEL
CSAN3,COSAN
CPFE3,CPFL ENERGIA
CMIN3,CSNMINERACAO
CURY3,CURY S/A
CYRE3,CYRELA REALT
DIRR3,DIRECIONAL
EMBJ3,EMBRAER
ENGI11,ENERGISA
ENEV3,ENEVA
EGIE3,ENGIE BRASIL
EQTL3,EQUATORIAL
FLRY3,FLEURY
GGBR4,GERDAU
GOAU4,GERDAU MET
HAPV3,HAPVIDA
HYPE3,HYPERA
IGTI11,IGUATEMI S.A
ISAE4,ISA ENERGIA
ITSA4,ITAUSA
ITUB4,ITAUUNIBANCO
KLBN11,KLABIN S/A
RENT3,LOCALIZA
LREN3,LOJAS RENNER
MGLU3,MAGAZ LUIZA
POMO4,MARCOPOLO
MBRF3,MARFRIG
BEEF3,MINERVA
MOTV3,MOTIVA SA
MRVE3,MRV
MULT3,MULTIPLAN
NATU3,NATURA
PETR3,PETROBRAS
PETR4,PETROBRAS
RECV3,PETRORECSA
PSSA3,PORTO SEGURO
PRIO3,PRIO
RADL3,RAIADROGASIL
RDOR3,REDE D OR
RAIL3,RUMO S.A.
SBSP3,SABESP
SANB11,SANTANDER BR
CSNA3,SID NACIONAL
SLCE3,SLC AGRICOLA
SMFT3,SMART FIT
SUZB3,SUZANO S.A.
TAEE11,TAESA
VIVT3,TELEF BRASIL
TIMS3,TIM
TOTS3,TOTVS
UGPA3,ULTRAPAR
USIM5,USIMINAS
VALE3,VALE
VAMO3,VAMOS
VBBR3,VIBRA
VIVA3,VIVARA S.A.
WEGE3,WEG
YDUQ3,YDUQS PART
