codigo,fundo
CACR11,CARTESIA FII
AFHI11,FII AFHI CRI
ALZR11,FII ALIANZA
RZAT11,FII ARCTIUM
FATN11,FII ATHENA I
AZPL11,FII AZPL
BBIG11,FII BBIG
BRCR11,FII BC FUND
BCIA11,FII BCIA
BCRI11,FII BEES CRI
BRCO11,FII BRESCO
BROF11,FII BROF
BTAL11,FII BTG AGRO
BTCI11,FII BTG CRI
BPML11,FII BTG SHOP
BTHF11,FII BTHF
BTLG11,FII BTLG
CPTS11,FII CAPI SEC
ICRI11,FII CI IPCA
CLIN11,FII CLAVE IN
CPSH11,FII CPSH
CYCR11,FII CYRELA
DEVA11,FII DEVANT
VRTA11,FII FATOR VE
GTWR11,FII G TOWERS
GZIT11,FII GAZIT
GGRC11,FII GGR ZAG
GARE11,FII GUARDIAN
HABT11,FII HABIT II
HCTR11,FII HECTARE
HGBS11,FII HEDGEBS
HGCR11,FII HGCR PAX
HGLG11,FII HGLG PAX
HGRE11,FII HGRE PAX
HGRU11,FII HGRU PAX
HTMX11,FII HOTEL MX
HSAF11,FII HSI CRI
HSLG11,FII HSI LOG
HSML11,FII HSI MALL
HFOF11,FII HTOPFOF3
IRIM11,FII IRIM
ITRI11,FII ITRI
JSAF11,FII JS A FIN
JSRE11,FII JS REAL
KISU11,FII KILIMA
KNRI11,FII KINEA
KCRE11,FII KINEA CR
KNHF11,FII KINEA HF
KNHY11,FII KINEA HY
KNIP11,FII KINEA IP
KNCR11,FII KINEA RI
KNSC11,FII KINEA SC
KNUQ11,FII KINEA UN
KFOF11,FII KINEAFOF
KIVO11,FII KIVO
KORE11,FII KORE
LIFE11,FII LIFE
LVBI11,FII LVBI VBI
MANA11,FII MANATI
MCCI11,FII MAUA
MCRE11,FII MAUA RE
MXRF11,FII MAXI REN
MFII11,FII MERITO I
OUJP11,FII OURI JPP
PCIP11,FII PCIP PAX
PMLL11,FII PMLL PAX
PORD11,FII POLO CRI
PSEC11,FII PSEC PAX
PVBI11,FII PVBI VBI
RPRI11,FII RBR PR
RBRL11,FII RBRL PAX
RBRP11,FII RBRP PAX
RBRR11,FII RBRR PAX
RBRX11,FII RBRX PAX
RBRY11,FII RBRY PAX
RECR11,FII REC RECE
RBFM11,FII RIOB MT
RCRB11,FII RIOB RC
RBVA11,FII RIOB VA
RZAK11,FII RIZA AKN
RZTR11,FII RIZA TX
TRBL11,FII SDI LOG
SPXS11,FII SPX SYN
SNCI11,FII SUNO CRI
SNEL11,FII SUNO EL
SNFF11,FII SUNOFOFI
TEPP11,FII TEL PROP
TGAR11,FII TG ATIVO
TVRI11,FII TIVIO RI
TOPP11,FII TOPP PAX
TRXF11,FII TRX REAL
URPR11,FII URCA REN
VGHF11,FII VALOR HE
VGIP11,FII VALORAIP
VGIR11,FII VALREIII
VCJR11,FII VECTIS
VGRI11,FII VGRI
VILG11,FII VINCI LG
VINO11,FII VINCI OF
VISC11,FII VINCI SC
VRTM11,FII VRTM
WHGR11,FII WHG REAL
XPCI11,FII XP CRED
XPLG11,FII XP LOG
XPML11,FII XP MALLS
XPSF11,FII XP SELEC
